N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
60,F&F,"747,000","11,000",+1.49%,500,"57,231","7,661",10.75,"8,629",N/A,N/A,
61,SKC,"150,500","2,000",-1.31%,"5,000","56,992","37,868",12.88,"77,660",130.87,2.21,
62,한국타이어앤테크놀로지,"45,650",250,-0.54%,500,"56,549","123,875",41.77,"47,355",9.16,5.12,
63,미래에셋증권,"8,740",50,+0.58%,"5,000","55,527","635,316",13.89,"320,061",6.96,8.94,
64,코웨이,"74,800","1,800",+2.47%,500,"55,202","73,800",59.45,"64,038",12.87,31.51,
65,에스디바이오센서,"52,700","1,500",+2.93%,500,"54,424","103,271",2.34,"748,713",7.99,139.97,
66,KODEX 200,"40,890",205,-0.50%,0,"52,850","129,250",4.06,"982,173",N/A,N/A,
67,한국금융지주,"93,100",800,-0.85%,"5,000","51,881","55,726",34.68,"58,616",4.16,16.27,
68,현대중공업지주,"64,200",300,-0.47%,"1,000","50,714","78,993",17.30,"33,482",-14.83,-8.12,
69,맥쿼리인프라,"12,200",0,0.00%,0,"49,391","404,846",14.56,"254,365",N/A,N/A,
70,이마트,"177,000","1,000",-0.56%,"5,000","49,340","27,876",35.31,"44,338",12.21,4.05,
71,오리온,"124,000","1,000",-0.80%,500,"49,025","39,536",39.36,"28,692",20.34,15.50,
72,한미사이언스,"72,500",500,+0.69%,500,"48,796","67,305",1.53,"24,828",176.40,3.47,
73,LG이노텍,"202,000","4,500",-2.18%,"5,000","47,808","23,667",29.63,"53,331",8.75,10.20,
74,아모레G,"56,300",0,0.00%,500,"46,424","82,458",17.25,"20,861",35.86,0.31,
75,한진칼,"66,000",200,+0.30%,"2,500","44,048","66,739",14.87,"17,308",-45.05,-19.55,
76,삼성증권,"48,400",600,+1.26%,"5,000","43,221","89,300",29.63,"190,417",5.53,9.89,
77,팬오션,"8,050",50,-0.62%,"1,000","43,033","534,570",11.45,"1,595,098",24.69,3.25,
78,유한양행,"60,700",400,+0.66%,"1,000","42,474","69,973",17.78,"24,871",44.15,11.06,
79,두산밥캣,"42,050",50,+0.12%,500,"42,155","100,249",25.87,"50,269",11.06,6.15,
80,DB손해보험,"59,500",500,-0.83%,500,"42,126","70,800",42.86,"32,157",6.80,9.08,
81,쌍용C&E,"8,170",100,+1.24%,100,"41,165","503,860",3.58,"618,677",26.35,7.92,
82,삼성엔지니어링,"20,750",350,-1.66%,"5,000","40,670","196,000",32.64,"1,222,848",12.88,17.32,
83,녹십자,"346,500","19,000",+5.80%,"5,000","40,494","11,687",21.22,"93,114",43.32,7.48,
84,삼성카드,"34,300",150,+0.44%,"5,000","39,740","115,859",8.25,"21,322",9.35,5.69,
85,삼성중공업,"6,170",40,+0.65%,"1,000","38,871","630,000",13.96,"747,290",-2.53,-33.06,
86,CJ대한통운,"169,000","1,500",+0.90%,"5,000","38,553","22,812",22.66,"8,613",110.75,3.89,
87,GS,"41,350",150,-0.36%,"5,000","38,420","92,915",19.25,"32,194",4.70,-2.82,
88,롯데지주,"35,200",100,-0.28%,200,"36,928","104,909",8.30,"26,856",50.29,-3.03,
89,한미약품,"305,500","1,500",+0.49%,"2,500","36,899","12,078",12.92,"4,471",159.78,1.65,
90,NH투자증권,"13,100",50,+0.38%,"5,000","36,865","281,409",18.38,"164,244",4.90,10.32,
91,메리츠증권,"5,260",10,+0.19%,"1,000","35,859","681,731",14.18,"402,959",5.61,13.08,
92,한화시스템,"18,950",0,0.00%,"5,000","35,800","188,919",3.18,"526,280",20.55,9.35,
93,메리츠금융지주,"26,550",100,+0.38%,500,"35,580","134,011",8.14,"50,093",6.21,16.06,
94,현대차2우B,"97,100","1,600",-1.62%,"5,000","35,427","36,485",61.06,"18,607",7.03,N/A,
95,GS리테일,"33,750",150,-0.44%,"1,000","35,342","104,718",10.84,"57,574",17.34,7.50,
96,신풍제약,"66,700","1,300",-1.91%,500,"35,341","52,985",8.76,"373,155",775.58,1.72,
97,GS건설,"40,750",200,+0.49%,"5,000","34,874","85,581",25.83,"104,709",10.75,7.68,
98,일진머티리얼즈,"75,400",100,-0.13%,500,"34,768","46,111",9.67,"73,469",86.47,7.23,
99,호텔신라,"88,200","1,000",-1.12%,"5,000","34,617","39,248",18.16,"150,864",-26.82,-36.74,
100,두산퓨얼셀,"51,900","2,500",+5.06%,100,"33,991","65,494",12.23,"1,259,257",865.00,4.18,
101,효성티앤씨,"774,000","1,000",+0.13%,"5,000","33,496","4,328",22.81,"10,848",6.62,25.10,
102,한솔케미칼,"295,000","2,000",-0.67%,"5,000","33,439","11,335",41.42,"10,271",23.49,24.50,
